printer Position Traction (mm),Sensor Position Traction (mm),Pressure Traction(KPa),time of traction(sec),printer Position Repuslsion(mm),Sensor Position Repulsion(mm),Pressure Repulsion(KPa),time of repulsion(sec),Printer Strain Traction(percentage),Printer Strain Repulsion(percentage),Sensor Strain Traction(percentage),Sensor Strain Repulsion(percentage),Printer Displacement Traction(mm),Printer Displacement Repuslion(mm),Sensor Displacement Traction(mm),Sensor Displacement Repulsion(mm)
198.0,5.0,0,1.011,213.0,5.77,20.07,1.0111,0.0,30.0,0.0,25.3,0.0,0.0,0.0,0.0
198.5,18.08,0.0,2.2267,212.5,6.16,19.81,2.5141,1.0,29.0,26.16,24.48,0.5,0.5,13.08,0.39
199.0,17.66,0.0,3.6659,212.0,6.59,17.46,4.0171,2.0,28.0,25.32,23.58,1.0,1.0,12.66,0.82
199.5,17.66,0.26,5.169,211.5,7.01,15.38,5.5195,3.0,27.0,25.32,22.7,1.5,1.5,12.66,1.24
200.0,16.78,12.25,6.6719,211.0,7.45,13.55,7.0229,4.0,26.0,23.56,21.92,2.0,2.0,11.78,1.68
200.5,16.36,20.07,8.1741,210.5,7.86,12.77,8.5583,5.0,25.0,22.72,21.06,2.5,2.5,11.36,2.09
201.0,15.96,23.72,9.678,210.0,8.29,11.47,10.0292,6.0,24.0,21.92,20.22,3.0,3.0,10.96,2.52
201.5,15.54,25.54,11.1809,209.5,8.7,10.95,11.5475,7.0,23.0,21.08,19.32,3.5,3.5,10.54,2.93
202.0,15.09,27.89,12.6838,209.0,9.11,10.16,13.0514,8.0,22.0,20.18,18.52,4.0,4.0,10.09,3.34
202.5,14.65,31.02,14.1871,208.5,9.55,9.12,14.5543,9.0,21.0,19.3,17.62,4.5,4.5,9.65,3.78
203.0,14.25,34.14,15.6899,208.0,9.99,8.6,16.0571,10.0,20.0,18.5,16.8,5.0,5.0,9.25,4.22
203.5,13.82,37.79,17.1931,207.5,10.37,8.08,17.5595,11.0,19.0,17.64,15.98,5.5,5.5,8.82,4.6
204.0,13.38,40.92,18.7119,207.0,10.82,7.04,19.0634,12.0,18.0,16.76,15.1,6.0,6.0,8.38,5.05
204.5,2.97,37.01,20.2147,206.5,11.23,6.52,20.5662,13.0,17.0,4.06,14.32,6.5,6.5,2.03,5.46
205.0,12.54,52.39,21.7182,206.0,11.64,5.99,22.0699,14.0,16.0,15.08,13.4,7.0,7.0,7.54,5.87
205.5,12.12,56.82,23.2211,205.5,12.05,5.73,23.5715,15.0,15.0,14.24,12.56,7.5,7.5,7.12,6.28
206.0,11.68,59.95,24.8041,205.0,12.47,5.21,25.0756,16.0,14.0,13.36,11.74,8.0,8.0,6.68,6.7
206.5,11.27,57.08,26.2272,204.5,12.93,3.91,26.5781,17.0,13.0,12.54,10.92,8.5,8.5,6.27,7.16
207.0,10.83,54.47,27.7303,204.0,13.32,-0.78,28.097,18.0,12.0,11.66,10.1,9.0,9.0,5.83,7.55
207.5,10.42,59.69,29.2333,203.5,13.76,-4.43,29.6,19.0,11.0,10.84,9.2,9.5,9.5,5.42,7.99
208.0,10.02,59.69,30.7523,203.0,14.17,-5.21,31.1031,20.0,10.0,10.04,8.44,10.0,10.0,5.02,8.4
208.5,9.59,42.74,32.2552,202.5,14.58,12.25,32.606,21.0,9.0,9.18,7.56,10.5,10.5,4.59,8.81
209.0,9.14,37.53,33.7582,202.0,15.03,22.94,34.1092,22.0,8.0,8.28,6.68,11.0,11.0,4.14,9.26
209.5,8.7,34.4,35.2613,201.5,15.43,32.06,35.6122,23.0,7.0,7.4,5.86,11.5,11.5,3.7,9.66
210.0,8.3,32.58,36.7643,201.0,15.88,36.75,37.1792,24.0,6.0,6.6,5.04,12.0,12.0,3.3,10.11
210.5,7.88,31.02,38.2666,200.5,16.3,40.66,38.6182,25.0,5.0,5.76,4.18,12.5,12.5,2.88,10.53
211.0,7.47,29.45,39.7702,200.0,16.73,33.36,40.1209,26.0,4.0,4.94,3.36,13.0,13.0,2.47,10.96
211.5,7.06,28.41,41.2732,199.5,17.12,22.41,41.6235,27.0,3.0,4.12,2.48,13.5,13.5,2.06,11.35
212.0,6.65,26.06,42.7761,199.0,17.56,15.12,43.1272,28.0,2.0,3.3,1.64,14.0,14.0,1.65,11.79
212.5,6.2,23.98,44.2787,198.5,18.01,10.95,44.6302,29.0,1.0,2.4,0.78,14.5,14.5,1.2,12.24
213.0,5.77,21.63,45.7823,198.0,18.42,8.08,46.1491,30.0,0.0,1.54,0.0,15.0,15.0,0.77,12.65
